brand,model,model_type,price_euros,mileage,manual_automatic,year,fuel,power
Land Rover,Range Rover Evoque,2.2L TD4 Prestige 4x4 Aut.,9900,140000,Automático,12/2014,Diésel,110 kW (150 CV)
SEAT,Ibiza,ST 1.4TDI CR Ecomotive S&S Reference75,3900,306000,Manual,09/2016,Diésel,55 kW (75 CV)
SEAT,Ibiza,1.6TDI CR Reference Tech,6499,116000,Manual,05/2014,Diésel,66 kW (90 CV)
BMW,116,116d Efficient Dynamics Edition,10990,10690,Manual,05/2012,Diésel,85 kW (116 CV)
SsangYong,Rexton,W 200 e-Xdi Premium 4x2,8490,154000,Manual,05/2015,Diésel,114 kW (155 CV)
Volkswagen,Golf,1.6 Trendline,5500,220000,Manual,02/2007,Gasolina,75 kW (102 CV)
Citroen,,CITROEN Berlingo M1 Pequeño  Manual de 4 Puertas,6350,187980,Manual,06/2018,Diésel,74 kW (101 CV)
Opel,Zafira,1.9CDTi Enjoy 120,2990,135199,Manual,02/2007,Diésel,88 kW (120 CV)
Lancia,Phedra,2.2JTD 16v Platino,5990,140000,Manual,08/2008,Diésel,125 kW (170 CV)
Toyota,Corolla,Verso 2.2D4D Sport 177,4000,194000,Manual,06/2007,Diésel,130 kW (177 CV)
Skoda,Fabia,1.9SDi Classic,950,337000,Manual,07/2000,Diésel,47 kW (64 CV)
Maserati,Ghibli,Diesel Aut. 275,23000,174000,Automático,12/2014,Diésel,202 kW (275 CV)
BMW,318,318i,2200,182000,Manual,05/1999,Gasolina,87 kW (118 CV)
Mercedes-Benz,A 180,180CDI,5900,164500,Manual,01/2011,Diésel,80 kW (109 CV)
Citroen,C4 Cactus,1.6 BlueHDi Shine 100,6590,126350,Manual,06/2016,Diésel,73 kW (99 CV)
MG,ZS,2.5 V6 Core 180,12990,37000,Manual,05/2023,Gasolina,130 kW (177 CV)
Audi,TT,Coupé 1.8T 180,2400,292000,Manual,11/1999,Gasolina,132 kW (179 CV)
Nissan,Almera,1.5dCi Line Up,1990,258000,Manual,04/2006,Diésel,60 kW (82 CV)
Audi,A5,2.0 TFSI 125kW S tronic g-tron Sportback,16890,89500,Automático,05/2018,Gasolina,125 kW (170 CV)
Kia,Sportage,1.6 CRDi MHEV Business DCT 4x4 136,22000,800,Automático,01/2025,Diésel,100 kW (136 CV)
Kia,Sportage,1.6 CRDi MHEV Business DCT 4x4 136,22000,800,Automático,01/2025,Diésel,100 kW (136 CV)
Nissan,Qashqai,1.5dCi Tekna 4x2 17´´,9590,103700,Manual,06/2014,Diésel,81 kW (110 CV)
Audi,A3,Sportback 30 TFSI S line S tronic,22690,39836,Automático,04/2023,Gasolina,81 kW (110 CV)
Mazda,3,1.6CRTD Active,6500,190000,Manual,03/2011,Diésel,80 kW (109 CV)
CUPRA,Formentor,1.5 TSI 150,21390,33350,Manual,03/2021,Gasolina,110 kW (150 CV)
CUPRA,Formentor,1.5 TSI 150,17995,26141,Manual,05/2021,Gasolina,110 kW (150 CV)
Kia,Stonic,1.2 DPi Drive,14072,32180,Manual,07/2023,Gasolina,62 kW (84 CV)
Skoda,Octavia,2.0TDI RS 170,4500,318000,Manual,03/2007,Diésel,125 kW (170 CV)
Skoda,Yeti,1.2 TSI Ambition 4x2,6100,200000,Manual,01/2011,Gasolina,77 kW (105 CV)
Mercedes-Benz,E 350,Coupé 350CDI BE Prime Edition Aut.,8999,260000,Automático,12/2009,Diésel,170 kW (231 CV)
BMW,X1,2.0D SDRIVE 150CV 18D 5P QUOT;4X2 QUOT;,13990,191151,Manual,08/2020,Diésel,110 kW (150 CV)
Audi,A1,Sportback 30 TFSI,12990,98361,Manual,01/2019,Gasolina,85 kW (116 CV)
Renault,Clio,Life dCi 55 kW (75 CV),7300,99000,Manual,05/2019,Diésel,55 kW (75 CV)
CUPRA,Formentor,1.5 TSI 150,22100,26896,Manual,03/2024,Gasolina,110 kW (150 CV)
DS Automobiles,DS 9,E-TENSE PERFORMANCE LINE+,18990,103203,Automático,06/2021,Electro/Gasolina,165 kW (224 CV)
SEAT,Ibiza,1.0 TSI S&S FR 110,13955,23525,Automático,12/2023,Gasolina,81 kW (110 CV)
Mercedes-Benz,S 350,BT 4M Aut.,14800,146000,Automático,09/2011,Diésel,190 kW (258 CV)
Volkswagen,Polo,1.6TDI Advance 90,5990,172500,Manual,03/2011,Diésel,66 kW (90 CV)
Volkswagen,T-Cross,1.0 TSI Advance 81kW,16990,38000,Manual,09/2022,Gasolina,81 kW (110 CV)
Opel,Corsa,1.2 XEL S/S Edition 75,8909,66221,Manual,12/2020,Gasolina,55 kW (75 CV)
Volkswagen,T-Cross,1.0 TSI Advance 81kW,16990,38000,Manual,09/2022,Gasolina,81 kW (110 CV)
Mazda,6,2.0CRTD Luxury,5700,217000,Manual,12/2008,Diésel,103 kW (140 CV)
Citroen,C5,2.0HDI Exclusive CAS 163,5990,253000,Automático,09/2011,Diésel,120 kW (163 CV)
Opel,Corsa,1.2 XEL S/S Edition 75,8909,66221,Manual,12/2020,Gasolina,55 kW (75 CV)
Kia,Sportage,1.6 GDi Concept 4x2 132,15490,42839,Manual,01/2020,Gasolina,97 kW (132 CV)
Opel,Insignia,1.6CDTI S&S Selective 136,12990,144415,Manual,06/2020,Diésel,100 kW (136 CV)
Audi,A4,Avant 2.7TDI Multitronic,7800,175000,Automático,03/2007,Diésel,132 kW (179 CV)
Jaguar,XE,2.0 Diesel Pure 180,13200,125786,Manual,08/2016,Diésel,132 kW (179 CV)
Nissan,Qashqai,1.5dCi Tekna Premium 4x2 17´´,7500,255000,Manual,02/2013,Diésel,81 kW (110 CV)
Mercedes-Benz,CLA 180,,15490,86000,Manual,08/2013,Gasolina,90 kW (122 CV)
Lamborghini,Aventador,Roadster SVJ,669999,9500,Automático,07/2020,Gasolina,566 kW (770 CV)
Ford,Mondeo,2.0TDCi Ghia Aut. 140,4990,199000,Automático,06/2009,Diésel,103 kW (140 CV)
Kia,Carens,1.7CRDI 115CV CONCEPT 5P,5990,211957,Manual,09/2015,Diésel,85 kW (116 CV)
Porsche,Taycan,4S Cross Turismo,69990,29000,Automático,05/2023,Electro/Gasolina,360 kW (489 CV)
Ford,Focus,1.6 Trend,1800,168000,Manual,05/2004,Gasolina,74 kW (101 CV)
Opel,Frontera,2.2DTI Limited 120,4490,219000,Manual,12/2002,Diésel,88 kW (120 CV)
SEAT,Ibiza,1.2 TSI Style,6990,160000,Manual,07/2015,Gasolina,66 kW (90 CV)
Renault,Captur,TCe Techno 67kW,17400,8600,Manual,05/2023,Gasolina,67 kW (91 CV)
Nissan,Qashqai,1.6dCi S&S Tekna Sport 4x2 17´´,8490,110000,Manual,10/2012,Diésel,96 kW (131 CV)
Volkswagen,Golf,1.2 TSI BMT Edition 110,9990,74900,Manual,01/2016,Gasolina,81 kW (110 CV)
Peugeot,3008,1.2 PureTech S&S Allure 130,11300,169000,Manual,01/2022,Gasolina,96 kW (131 CV)
Peugeot,406,Berlina 109cv Manual de 4 Puertas,2995,228000,Manual,11/2002,Diésel,80 kW (109 CV)
DS Automobiles,DS 3 Crossback,BlueHDi 73 kW Manual SO CHIC,11490,79202,Manual,01/2020,Diésel,73 kW (99 CV)
Peugeot,208,1.2 PureTech Access 82,6450,56250,Manual,05/2014,Gasolina,60 kW (82 CV)
Citroen,C4,Grand Picasso 1.2 PureTech S&S Shine 130,7990,99000,Manual,01/2017,Gasolina,96 kW (131 CV)
Audi,Q5,Sportback 40 TDI quattro-ultra Black line S tronic,50990,102000,Automático,08/2021,Diésel,150 kW (204 CV)
Volkswagen,Passat,1.4TSI Edition Plus,5990,182000,Manual,06/2010,Gasolina,90 kW (122 CV)
Mercedes-Benz,CLA 180,D,19890,84000,Automático,08/2018,Diésel,80 kW (109 CV)
Alfa Romeo,156,1.8 T.S. Progression,4900,100000,Manual,10/2000,Gasolina,106 kW (144 CV)
Ford,Focus,1.0 Ecoboost Auto-S&S Titanium 125,6490,143000,Manual,05/2013,Gasolina,92 kW (125 CV)
Mercedes-Benz,SLK 230,K,5990,140000,Manual,06/2000,Gasolina,142 kW (193 CV)
Citroen,Berlingo,BlueHDi S&S Talla M Feel 100,11569,147000,Manual,11/2019,Diésel,75 kW (102 CV)
Audi,A3,1.4 TFSI etron S tronic Sportback,15990,59000,Automático,01/2017,Electro/Gasolina,150 kW (204 CV)
Porsche,Macan,Aut.,39950,110000,Automático,06/2018,Gasolina,185 kW (252 CV)
Hyundai,i30,1.4 Comfort,4700,190000,Manual,12/2007,Gasolina,80 kW (109 CV)
Mercedes-Benz,S 320,CDI Aut.,13500,206543,Automático,06/2010,Diésel,150 kW (204 CV)
BMW,X4,xDrive 20d,17890,193063,Automático,01/2016,Diésel,140 kW (190 CV)
DS Automobiles,DS 3 Crossback,BlueHDi Be Chic 100,12500,93194,Manual,01/2020,Diésel,75 kW (102 CV)
BMW,218,218iA Gran Coupé Sport,29490,9850,Automático,02/2024,Gasolina,100 kW (136 CV)
Citroen,C3,1.2 PureTech S&S Feel 83,9523,22298,Manual,06/2019,Gasolina,60 kW (82 CV)
Hyundai,i30,1.4 Comfort,4700,190000,Manual,12/2007,Gasolina,80 kW (109 CV)
Mercedes-Benz,S 320,CDI Aut.,13500,206543,Automático,06/2010,Diésel,150 kW (204 CV)
BMW,X4,xDrive 20d,17890,193063,Automático,01/2016,Diésel,140 kW (190 CV)
BMW,535,535iA Touring Luxury,14490,269900,Automático,08/2014,Gasolina,225 kW (306 CV)
DS Automobiles,DS 3 Crossback,BlueHDi Be Chic 100,12500,93194,Manual,01/2020,Diésel,75 kW (102 CV)
Maserati,Ghibli,Diesel Aut. 275,26800,135000,Automático,03/2015,Diésel,202 kW (275 CV)
BMW,218,218iA Gran Coupé Sport,29490,9850,Automático,02/2024,Gasolina,100 kW (136 CV)
Citroen,C3,1.2 PureTech S&S Feel 83,9523,22298,Manual,06/2019,Gasolina,60 kW (82 CV)
Mercedes-Benz,E 320,320CDI 4M Avantgarde Aut.,7497,213999,Automático,10/2006,Diésel,165 kW (224 CV)
Nissan,Qashqai,1.6dCi Acenta 4x2 XTronic,11500,139926,Automático,01/2015,Diésel,96 kW (131 CV)
Citroen,C4,1.6HDi Tonic,7990,114500,Manual,05/2014,Diésel,68 kW (92 CV)
Land Rover,Range Rover,4.4 V8 Vogue,11980,154000,Automático,10/2002,Gasolina,210 kW (286 CV)
Land Rover,Range Rover Evoque,2.0D S FWD 150,21490,79000,Manual,08/2020,Diésel,110 kW (150 CV)
Mercedes-Benz,E 320,320CDI Avantgarde Aut.,6900,284500,Automático,12/2005,Diésel,165 kW (224 CV)
Ford,S-Max,2.0TDCI Titanium 140,7500,240000,Manual,07/2012,Diésel,103 kW (140 CV)
Renault,Talisman,1.6dCi Energy Intens 96kW,10500,190721,Manual,04/2016,Diésel,96 kW (131 CV)
Peugeot,5008,1.6HDI Premium CMP,5450,203000,Automático,10/2009,Diésel,80 kW (109 CV)
Volkswagen,Polo,1.0 BMT Edition 55kW,7690,161200,Manual,02/2017,Gasolina,55 kW (75 CV)
BMW,X4,xDrive 20dA,34900,108400,Automático,01/2021,Diésel,140 kW (190 CV)
Alfa Romeo,Stelvio,2.2D 210CV EXECUTIVE 5P,16890,197021,Manual,09/2019,Diésel,155 kW (211 CV)
Audi,S4,Avant S-Tronic,21950,158000,Automático,10/2010,Gasolina,245 kW (333 CV)
Kia,Picanto,X LINE 1.0 TGDI 100CV,8990,28565,Manual,08/2018,Gasolina,74 kW (101 CV)
Nissan,X-Trail,SE Comfort 2.0 dCi 150 CV,12400,189000,Manual,04/2012,Diésel,110 kW (150 CV)
Toyota,Auris,130 Active,9990,113000,Manual,03/2015,Gasolina,97 kW (132 CV)
Subaru,Forester,2.0TD Executive,16900,42000,Manual,10/2015,Diésel,108 kW (147 CV)
Citroen,C5,2.0HDI Business,5490,210300,Manual,04/2009,Diésel,103 kW (140 CV)
Tesla,Model S,100D,23490,103000,Automático,05/2015,Electro/Gasolina,310 kW (421 CV)
Jaguar,F-Pace,2.0i4D Pure AWD 180,13400,215000,Manual,06/2016,Diésel,132 kW (179 CV)
Suzuki,Swift,1.3I 92CV 3P,3990,120054,Manual,11/2008,Gasolina,68 kW (92 CV)
Kia,Ceed / cee'd,1.4CRDi Drive,7490,95967,Manual,07/2013,Diésel,66 kW (90 CV)
Audi,A3,Sportback 35TDI Black line,24990,63135,Manual,02/2022,Diésel,110 kW (150 CV)
Land Rover,Range Rover Evoque,2.0TD4 Pure 4WD 150,14500,190000,Manual,01/2015,Diésel,110 kW (150 CV)
Opel,Mokka,1.2 T 130cv Auto GS Line,16300,24278,Automático,11/2021,Gasolina,96 kW (131 CV)
Toyota,Corolla,125H Business,14990,46990,Automático,01/2020,Electro/Gasolina,90 kW (122 CV)
Citroen,C3,1.2 PureTech S&S Feel 83,7904,80899,Manual,07/2019,Gasolina,60 kW (82 CV)
Renault,Talisman,dCi Blue Limited 110kW,14190,45393,Manual,09/2020,Diésel,110 kW (150 CV)
Peugeot,508,2.0BlueHDi S&S GT Line EAT8 160,15490,162000,Automático,06/2020,Diésel,120 kW (163 CV)
Land Rover,Range Rover Sport,3.0SDV6 SE Aut.,17990,137411,Automático,09/2012,Diésel,188 kW (256 CV)
Alfa Romeo,4C,1.7 Tbi TCT 240,64900,26900,Automático,09/2016,Gasolina,177 kW (241 CV)
Audi,RS Q3,Sportback 2.5 TFSI quattro S tronic,59900,19742,Automático,04/2021,Gasolina,294 kW (400 CV)
Nissan,Qashqai,DIG-T 103kW (140CV) mHEV 4x2 Acenta,21360,14800,Manual,09/2023,Electro/Gasolina,103 kW (140 CV)
Audi,A3,Sportback 1.6TDI Ambition 105,8800,265000,Manual,11/2013,Diésel,77 kW (105 CV)
Mercedes-Benz,CLK 200,Cabrio 230 K Avantgarde,6999,140000,Manual,06/1999,Gasolina,142 kW (193 CV)
Peugeot,2008,Allure Pack Eléctrico 100kW,16000,38990,Automático,03/2023,Electro/Gasolina,100 kW (136 CV)
Mazda,2,1.5 Style 66kW,9900,85800,Manual,11/2016,Gasolina,66 kW (90 CV)
Audi,S3,Sedán 2.0 TFSI quattro S tronic 228kW,27000,152500,Automático,01/2017,Gasolina,228 kW (310 CV)
Nissan,Juke,1.5dCi Visia,5900,276232,Manual,11/2012,Diésel,81 kW (110 CV)
Audi,Q7,3.0TDI quattro Tiptronic DPF,8950,306000,Automático,03/2006,Diésel,172 kW (234 CV)
Cadillac,SRX,3.6 V6 Elegance Plus AWD Aut.,7900,133900,Automático,03/2006,Gasolina,190 kW (258 CV)
Jaguar,F-Pace,2.0i4D Prestige Aut. AWD 180,15990,105613,Automático,06/2016,Diésel,132 kW (179 CV)
Volkswagen,Tiguan,2.0TDI BMT Business 4M DSG 140,10890,175000,Automático,06/2014,Diésel,103 kW (140 CV)
Peugeot,208,1.5 75 CV DIESEL VAN,6900,122500,Manual,02/2020,Diésel,55 kW (75 CV)
Nissan,Leaf,40 kWh Acenta Access,10890,95992,Automático,03/2020,Electro/Gasolina,110 kW (150 CV)
Mitsubishi,Outlander,200 MPI Motion 2WD 7pl. CVT,16990,73000,Automático,02/2019,Gasolina,110 kW (150 CV)
Alfa Romeo,Stelvio,2.2 Executive RWD 190 Aut.,21790,66730,Automático,08/2020,Diésel,140 kW (190 CV)
Peugeot,Rifter,1.5BlueHDi S&S Standard Allure 130,13223,80652,Manual,07/2020,Diésel,96 kW (131 CV)
Jeep,Compass,2.2CRD Limited 4x2,6990,191000,Manual,08/2012,Diésel,100 kW (136 CV)
Volkswagen,Touareg,3.0TDI V6 BMT Premium 245 Tiptronic,17400,180000,Automático,03/2012,Diésel,180 kW (245 CV)
Land Rover,Discovery Sport,2.0TD4 SE 4x4 150,14500,152000,Manual,01/2017,Diésel,110 kW (150 CV)
SEAT,Tarraco,2.0 TDI F&F Xcellence 4 Drive,21900,89950,Manual,12/2020,Diésel,140 kW (190 CV)
Jeep,Compass,2.2CRD Limited 4x2,6990,191000,Manual,08/2012,Diésel,100 kW (136 CV)
Volkswagen,Touareg,3.0TDI V6 BMT Premium 245 Tiptronic,17400,180000,Automático,03/2012,Diésel,180 kW (245 CV)
Land Rover,Discovery Sport,2.0TD4 SE 4x4 150,14500,152000,Manual,01/2017,Diésel,110 kW (150 CV)
SEAT,Tarraco,2.0 TDI F&F Xcellence 4 Drive,21900,89950,Manual,12/2020,Diésel,140 kW (190 CV)
Mitsubishi,ASX,180DI-D Motion 4WD,9900,162300,Manual,10/2015,Diésel,85 kW (116 CV)
Mercedes-Benz,GLK 220,350CDI 4M Aut.,16990,175000,Automático,06/2010,Diésel,165 kW (224 CV)
Opel,Corsa,1.2 XEL S/S Edition 75,9995,29999,Manual,01/2022,Gasolina,55 kW (75 CV)
Citroen,C4,1.2 e-THP S&S Collection,7900,62905,Manual,09/2014,Gasolina,96 kW (131 CV)
Peugeot,3008,1.6 BlueHDi Style EAT6 120,13490,145100,Automático,01/2019,Diésel,88 kW (120 CV)
Peugeot,208,1.2 PureTech Active 110,7099,104273,Manual,11/2015,Gasolina,81 kW (110 CV)
MINI,John Cooper Works,,11990,135000,Manual,12/2008,Gasolina,155 kW (211 CV)
Peugeot,208,1.2 PureTech Style 82,6990,60967,Manual,10/2016,Gasolina,60 kW (82 CV)
Citroen,C5,1.6 THP Seduction,10499,64000,Manual,08/2022,Gasolina,115 kW (156 CV)
Opel,Zafira,1.7CDTi Energy,5500,143000,Manual,09/2009,Diésel,81 kW (110 CV)
Citroen,Berlingo,BlueHDi S&S Talla M Live 100,11983,111000,Manual,09/2020,Diésel,75 kW (102 CV)
Nissan,Qashqai,DIG-T 103kW (140CV) mHEV 4x2 Acenta,21270,8197,Manual,11/2023,Electro/Gasolina,103 kW (140 CV)
Fiat,500,1.4 Lounge,5990,128000,Automático,06/2008,Gasolina,74 kW (101 CV)
Renault,Megane E-Tech,Equilibre Standard Charge EV40 96kW,19900,117,Automático,05/2023,Electro/Gasolina,96 kW (131 CV)
Audi,A4,2.0TDI DPF 143,9800,211158,Manual,01/2011,Diésel,105 kW (143 CV)
Citroen,C4,1.4i 16v SX,2670,184826,Manual,01/2005,Gasolina,66 kW (90 CV)
Chevrolet,Lacetti,2.0TCDI 16v CDX,2950,149671,Manual,04/2009,Diésel,89 kW (121 CV)
Toyota,C-HR,125H Style Plus,16800,118273,Automático,06/2019,Electro/Gasolina,90 kW (122 CV)
Volkswagen,Golf,2.0 FSI Sportline,6990,120000,Manual,01/2005,Gasolina,110 kW (150 CV)
Peugeot,Rifter,Access Standard BlueHDi 73kW,12950,151000,Manual,01/2018,Diésel,73 kW (99 CV)
Mercedes-Benz,GLE 400,Coupé 400d 4Matic Aut.,69800,96000,Automático,07/2021,Diésel,243 kW (330 CV)
Honda,CR-V,1.6i-DTEC Elegance 4x4 160,13990,209000,Manual,02/2016,Diésel,118 kW (160 CV)
Hyundai,i30,1.5 DPI Klass SLX 110,17720,6846,Manual,05/2024,Gasolina,81 kW (110 CV)
Renault,Megane,S.T. 1.5dCi Energy Business 66kW,8995,149000,Manual,09/2017,Diésel,66 kW (90 CV)
BMW,320,320d,3990,292000,Automático,11/2002,Diésel,110 kW (150 CV)
Jaguar,XE,2.0 Diesel Prestige 180,11990,121000,Manual,08/2016,Diésel,132 kW (179 CV)
